"STREAM_ID","n.trend","n.ltgme","n.gm","ANALYSE"
276,0,0,0,"N"
277,1,1,1,"Y"
278,1,1,1,"Y"
279,2,2,2,"Y"
280,0,0,0,"N"
281,1,2,2,"Y"
282,1,1,1,"Y"
283,1,1,1,"Y"
284,1,1,1,"Y"
285,0,0,0,"N"
286,3,2,2,"Y"
287,1,1,1,"Y"
288,1,1,1,"Y"
289,2,1,1,"Y"
290,2,1,1,"Y"
291,3,2,2,"Y"
292,1,1,1,"Y"
293,2,1,1,"Y"
294,1,1,1,"Y"
295,2,1,2,"Y"
296,1,1,1,"Y"
297,2,2,1,"Y"
298,1,1,0,"Y"
299,1,1,1,"Y"
300,0,0,0,"N"
301,1,1,0,"Y"
302,0,0,0,"N"
303,1,1,1,"Y"
304,0,0,0,"N"
305,0,0,0,"N"
306,0,0,0,"N"
307,0,0,0,"N"
308,2,2,1,"Y"
309,1,1,1,"Y"
310,2,1,2,"Y"
311,0,0,0,"N"
312,2,2,1,"Y"
313,1,1,1,"Y"
314,1,1,1,"Y"
315,1,1,1,"Y"
316,3,2,2,"Y"
317,1,1,1,"Y"
318,1,1,1,"Y"
319,1,1,1,"Y"
320,1,1,1,"Y"
321,0,0,0,"N"
322,1,1,1,"Y"
323,1,1,1,"Y"
324,1,1,1,"Y"
325,1,1,1,"Y"
326,1,1,1,"Y"
327,1,0,1,"Y"
328,1,1,1,"Y"
329,1,1,1,"Y"
330,1,1,1,"Y"
331,1,1,1,"Y"
332,1,1,1,"Y"
333,1,1,1,"Y"
334,1,1,1,"Y"
335,1,1,1,"Y"
336,1,1,1,"Y"
337,1,1,1,"Y"
338,1,1,1,"Y"
339,1,1,1,"Y"
340,1,1,1,"Y"
341,0,1,0,"Y"
342,1,1,1,"Y"
343,0,0,0,"N"
344,1,1,1,"Y"
345,1,1,1,"Y"
346,1,1,1,"Y"
347,1,1,1,"Y"
348,1,0,1,"Y"
349,0,0,0,"N"
350,1,0,0,"Y"
351,0,0,0,"N"
357,0,0,0,"N"
358,0,0,0,"N"
359,0,0,0,"N"
361,0,0,0,"N"
363,0,0,0,"N"
364,0,0,0,"N"
365,0,0,0,"N"
366,0,0,0,"N"
367,0,0,0,"N"
368,0,0,0,"N"
369,0,0,0,"N"
370,0,0,0,"N"
372,0,0,0,"N"
373,0,0,0,"N"
376,0,0,0,"N"
377,0,0,0,"N"
379,0,0,0,"N"
381,0,0,0,"N"
386,0,0,0,"N"
390,0,0,0,"N"
398,0,0,0,"N"
403,0,0,0,"N"
406,0,0,0,"N"
408,0,0,0,"N"
410,0,0,0,"N"
412,0,0,0,"N"
413,0,0,0,"N"
414,0,0,0,"N"
425,0,0,0,"N"
429,1,0,0,"Y"
435,0,0,0,"N"
439,0,0,0,"N"
442,0,0,0,"N"
443,0,0,0,"N"
444,0,0,0,"N"
445,0,0,0,"N"
446,0,0,0,"N"
447,1,3,2,"Y"
448,0,0,0,"N"
449,0,0,0,"N"
450,0,0,0,"N"
451,0,0,0,"N"
452,0,0,0,"N"
453,0,0,0,"N"
454,0,0,0,"N"
455,0,0,0,"N"
456,0,2,0,"Y"
457,0,0,0,"N"
458,0,0,0,"N"
459,1,5,1,"Y"
460,1,2,1,"Y"
461,1,1,1,"Y"
462,0,0,0,"N"
463,0,0,0,"N"
464,0,0,0,"N"
465,0,0,0,"N"
466,0,0,0,"N"
467,1,1,1,"Y"
468,1,3,0,"Y"
469,1,1,1,"Y"
470,0,0,0,"N"
471,0,0,0,"N"
472,0,0,0,"N"
473,1,1,1,"Y"
474,0,1,0,"Y"
475,0,0,0,"N"
476,0,0,0,"N"
477,2,2,0,"Y"
478,1,3,1,"Y"
479,0,0,0,"N"
480,0,0,0,"N"
481,0,0,0,"N"
482,0,0,0,"N"
483,0,0,0,"N"
484,0,0,0,"N"
486,0,0,0,"N"
488,6,6,4,"Y"
489,0,0,0,"N"
490,0,0,0,"N"
491,0,0,0,"N"
492,0,0,0,"N"
493,0,0,0,"N"
494,0,0,0,"N"
495,0,0,0,"N"
496,0,0,0,"N"
497,0,0,0,"N"
498,0,0,0,"N"
499,2,0,0,"Y"
501,0,0,0,"N"
503,0,0,0,"N"
504,1,1,1,"Y"
505,2,3,2,"Y"
506,0,0,0,"N"
507,0,0,0,"N"
508,0,0,0,"N"
509,0,0,0,"N"
510,0,1,0,"Y"
511,1,2,2,"Y"
512,0,0,0,"N"
513,0,0,0,"N"
514,0,0,0,"N"
515,0,0,0,"N"
516,0,0,0,"N"
517,1,1,1,"Y"
518,0,0,0,"N"
519,1,1,1,"Y"
520,0,0,0,"N"
521,1,1,1,"Y"
522,0,1,1,"Y"
523,0,0,0,"N"
524,0,0,0,"N"
525,0,0,0,"N"
526,0,0,0,"N"
527,0,0,0,"N"
528,0,0,0,"N"
529,0,0,0,"N"
530,0,0,0,"N"
531,0,0,0,"N"
532,0,0,0,"N"
533,0,0,0,"N"
534,2,2,0,"Y"
535,0,0,0,"N"
536,0,0,0,"N"
537,0,0,0,"N"
538,0,0,0,"N"
539,0,0,0,"N"
540,0,0,0,"N"
541,0,0,0,"N"
542,0,0,0,"N"
543,0,0,0,"N"
544,0,0,0,"N"
